date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:36	331/331	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jul%202017%2015:21:39%20GMT	http://www.createjs.com/demos/easeljs/spritesheet	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/demos/easeljs/spritesheet.0.delayed	(from )
11:21:37	27832/27832	---M-Z	200	added ('OK')	text/html	etag:%228eaf4e2-6cb8-54e3136ddc824%22	http://www.createjs.com/#demos/easeljs/spritesheet	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/#demos/easeljs/spritesheet.html	(from )
11:21:37	9036/9036	---M-Z	200	added ('OK')	text/html	etag:%228eaf4e2-6cb8-54e3136ddc824%22	http://www.createjs.com/robots.txt		(from )
11:21:37	1600/1600	---M--	200	added ('OK')	image/png	etag:%223aa285a-640-54be1d4897167%22	http://www.createjs.com/assets/favicons/apple-touch-icon-57x57.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-57x57.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:37	2819/2819	---M--	200	added ('OK')	image/png	etag:%223aa2855-b03-54be1d4894650%22	http://www.createjs.com/assets/favicons/apple-touch-icon-114x114.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-114x114.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:38	1978/1978	---M--	200	added ('OK')	image/png	etag:%223aa285c-7ba-54be1d4898186%22	http://www.createjs.com/assets/favicons/apple-touch-icon-72x72.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-72x72.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:38	3323/3323	---M--	200	added ('OK')	image/png	etag:%223aa2857-cfb-54be1d4895ad2%22	http://www.createjs.com/assets/favicons/apple-touch-icon-144x144.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-144x144.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:38	1671/1671	---M--	200	added ('OK')	image/png	etag:%223aa285b-687-54be1d4897c4a%22	http://www.createjs.com/assets/favicons/apple-touch-icon-60x60.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-60x60.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:38	2834/2834	---M--	200	added ('OK')	image/png	etag:%223aa2856-b12-54be1d4894e54%22	http://www.createjs.com/assets/favicons/apple-touch-icon-120x120.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-120x120.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:38	2069/2069	---M--	200	added ('OK')	image/png	etag:%223aa285d-815-54be1d4898784%22	http://www.createjs.com/assets/favicons/apple-touch-icon-76x76.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-76x76.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:39	3446/3446	---M--	200	added ('OK')	image/png	etag:%223aa2858-d76-54be1d48961e4%22	http://www.createjs.com/assets/favicons/apple-touch-icon-152x152.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-152x152.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:39	3927/3927	---M--	200	added ('OK')	image/png	etag:%223aa2859-f57-54be1d4896875%22	http://www.createjs.com/assets/favicons/apple-touch-icon-180x180.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/apple-touch-icon-180x180.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:39	4341/4341	---M--	200	added ('OK')	image/png	etag:%223aa2864-10f5-54be1d48a1025%22	http://www.createjs.com/assets/favicons/favicon-192x192.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/favicon-192x192.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:39	5920/5920	---M--	200	added ('OK')	image/png	etag:%22b423619-1720-50fc9bdb2ad40%22	http://www.createjs.com/assets/favicons/favicon-160x160.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/favicon-160x160.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
11:21:39	2222/2222	---M--	200	added ('OK')	image/png	etag:%223aa2866-8ae-54be1d48a2012%22	http://www.createjs.com/assets/favicons/favicon-96x96.png	E:/Projects/Github/Comp397-final_project/example/createjsExample/www.createjs.com/assets/favicons/favicon-96x96.png	(from http://www.createjs.com/#demos/easeljs/spritesheet)
